id;chapter;section;page;type;prompt;answer_text;options_json
1.11;Kapitel I. 2;1. Begriffe des Waffenrechts;7;multiple_choice;Erläutern Sie den Begriff „Waffe“ im Sinne des WaffG!;;"[{""key"": ""a"", ""text"": ""Schusswaffen oder ihnen gleichgestellte Gegenstände."", ""correct"": true}, {""key"": ""b"", ""text"": ""Tragbare Gegenstände, die ihrem Wesen nach dazu bestimmt sind, die Angriffs- oder Abwehrfähigkeit von Menschen zu beseitigen oder herabzusetzen, insbesondere Hieb- und Stoßwaffen."", ""correct"": true}, {""key"": ""c"", ""text"": ""Tragbare Gegenstände, die ohne dafür bestimmt zu sein, insbesondere wegen ihrer Beschaffenheit, Handhabung oder Wirkungsweise geeignet sind die Angriffs- oder Abwehrfähigkeit von Menschen zu beseitigen oder herabzusetzen und die im Waffengesetz genannt sind."", ""correct"": true}]"
1.12;Kapitel I. 3;1. Begriffe des Waffenrechts;8;multiple_choice;Wie unterscheidet das Waffengesetz Langwaffen und Kurzwaffen?;;"[{""key"": ""a"", ""text"": ""Langwaffen sind Schusswaffen, deren Lauf und Verschluss in geschlossener Stellung insgesamt länger als 30 cm sind und deren kürzeste bestimmungsgemäß verwendbare Gesamtlänge 60 cm überschreitet."", ""correct"": true}, {""key"": ""b"", ""text"": ""Schusswaffen, die eine Gesamtmindestlänge von 60 cm unterschreiten oder bei denen die Lauflänge kleiner als 30 cm ist, werden als Kurzwaffe bezeichnet."", ""correct"": true}, {""key"": ""c"", ""text"": ""Kurzwaffen haben maximal eine Länge von 20 cm."", ""correct"": false}]"
1.13;Kapitel I. 3;1. Begriffe des Waffenrechts;8;multiple_choice;Welcher der nebenstehend aufgeführten Gegenstände ist eine verbotene Waffe/ verbotener Gegenstand? (Hinweis: Vollständige Aufzählung s. Anlage 2 Abschnitt 1 Waffengesetz);;"[{""key"": ""a"", ""text"": ""Blasrohr, Harpune, Armbrust"", ""correct"": false}, {""key"": ""b"", ""text"": ""halbautomatisches Gewehr / halbautomatische Pistole"", ""correct"": false}, {""key"": ""c"", ""text"": ""Schlagring, Stockdegen, Würgeholz (Nun-Chaku)"", ""correct"": true}, {""key"": ""d"", ""text"": ""Wurfsterne, bestimmte Hartkernmunition, bestimmte Leuchtspurmunition"", ""correct"": true}]"
1.14;Kapitel I. 3;1. Begriffe des Waffenrechts;8;multiple_choice;Welcher der nebenstehend aufgeführten Gegenstände ist eine verbotene Waffe?;;"[{""key"": ""a"", ""text"": ""Samuraischwert"", ""correct"": false}, {""key"": ""b"", ""text"": ""feststehendes Messer mit einer Klinge von mehr als 8,5 cm"", ""correct"": false}, {""key"": ""c"", ""text"": ""Vorderschaftrepetierflinte mit einer Lauflänge unter 45 cm"", ""correct"": true}]"
1.15;Kapitel I. 3;1. Begriffe des Waffenrechts;8;multiple_choice;Bei welchen der aufgeführten Beispiele handelt es sich um „verbotene Waffen“?;;"[{""key"": ""a"", ""text"": ""Schusswaffen mit Schalldämpfer"", ""correct"": false}, {""key"": ""b"", ""text"": ""Schusswaffen, die Reihenfeuer (Dauerfeuer) schießen."", ""correct"": true}, {""key"": ""c"", ""text"": ""Für Schusswaffen bestimmte Vorrichtungen, die das Ziel beleuchten."", ""correct"": true}, {""key"": ""d"", ""text"": ""Vorderschaftrepetierflinten deren Gesamtlänge in der kürzesten Verwendungsform weniger als 95 cm beträgt."", ""correct"": true}]"
1.16;Kapitel I. 4;1. Begriffe des Waffenrechts;9;multiple_choice;Welche der nachfolgend genannten Gegenstände sind gemäß Waffengesetz verboten?;;"[{""key"": ""a"", ""text"": ""Schalldämpfer"", ""correct"": false}, {""key"": ""b"", ""text"": ""Distanz-Elektroimpulsgeräte"", ""correct"": true}, {""key"": ""c"", ""text"": ""für Schusswaffen bestimmte Zielscheinwerfer"", ""correct"": true}, {""key"": ""d"", ""text"": ""Kleinkaliberpatronen mit Leuchtspurgeschossen"", ""correct"": true}, {""key"": ""e"", ""text"": ""Teleskopschlagstöcke"", ""correct"": false}, {""key"": ""f"", ""text"": ""Büchsenpatronen mit Treibspiegelgeschossen"", ""correct"": true}]"
1.17;Kapitel I. 4;1. Begriffe des Waffenrechts;9;multiple_choice;Welche Gegenstände zählen zu den verbotenen Waffen?;;"[{""key"": ""a"", ""text"": ""Feuerwaffen mit Dauerfeuereinrichtung"", ""correct"": true}, {""key"": ""b"", ""text"": ""Spielzeugwaffen"", ""correct"": false}, {""key"": ""c"", ""text"": ""Schusswaffen mit Schalldämpfer"", ""correct"": false}]"
1.18;Kapitel I. 4;1. Begriffe des Waffenrechts;9;multiple_choice;Erlaubnispflichtig, jedoch keine verbotene Waffe ist...;;"[{""key"": ""a"", ""text"": ""ein Fallmesser."", ""correct"": false}, {""key"": ""b"", ""text"": ""eine vollautomatische Pistole."", ""correct"": false}, {""key"": ""c"", ""text"": ""eine zivile halbautomatische Schusswaffe, die wie eine vollautomatische Kriegswaffe aussieht."", ""correct"": true}]"
1.19;Kapitel I. 4;1. Begriffe des Waffenrechts;9;multiple_choice;Welches sind wesentliche Teile von Schusswaffen?;;"[{""key"": ""a"", ""text"": ""der Lauf"", ""correct"": true}, {""key"": ""b"", ""text"": ""das Magazin"", ""correct"": false}, {""key"": ""c"", ""text"": ""der Verschluss"", ""correct"": true}, {""key"": ""d"", ""text"": ""das Griffstück mit Auslösemechanismus bei Kurzwaffen"", ""correct"": true}, {""key"": ""e"", ""text"": ""die Trommel eines Revolvers"", ""correct"": true}, {""key"": ""f"", ""text"": ""das Gehäuse bei Langwaffen"", ""correct"": true}, {""key"": ""g"", ""text"": ""das Zielfernrohr"", ""correct"": false}]"
1.20;Kapitel I. 5;1. Begriffe des Waffenrechts;10;multiple_choice;Was ist ein Schalldämpfer waffenrechtlich gesehen?;;"[{""key"": ""a"", ""text"": ""Der Schalldämpfer ist ein verbotener Gegenstand."", ""correct"": false}, {""key"": ""b"", ""text"": ""Der Schalldämpfer ist immer erlaubnisfreies Zubehör."", ""correct"": false}, {""key"": ""c"", ""text"": ""Der Schalldämpfer für eine erlaubnispflichtige Schusswaffe steht waffenrechtlich der Schusswaffe gleich für die sie bestimmt ist."", ""correct"": true}]"
1.21;Kapitel I. 5;1. Begriffe des Waffenrechts;10;multiple_choice;Mit welchen Gegenständen (in Verbindung mit einer Schusswaffe) ist der Umgang verboten?;;"[{""key"": ""a"", ""text"": ""Zielscheinwerfer"", ""correct"": true}, {""key"": ""b"", ""text"": ""Leuchtpunktvisiere für Kurzwaffen"", ""correct"": false}, {""key"": ""c"", ""text"": ""Nachtzielgeräte"", ""correct"": true}]"
1.22;Kapitel I. 5;1. Begriffe des Waffenrechts;10;multiple_choice;Mit welcher Munition der Bezeichnung „9 mm Luger“ ist der Umgang verboten?;;"[{""key"": ""a"", ""text"": ""Hohlspitzpatronen"", ""correct"": false}, {""key"": ""b"", ""text"": ""Kleinschrotpatronen"", ""correct"": false}, {""key"": ""c"", ""text"": ""Leuchtspurpatronen"", ""correct"": true}]"
1.23;Kapitel I. 5;1. Begriffe des Waffenrechts;10;multiple_choice;Mit welcher Munition ist der Umgang verboten?;;"[{""key"": ""a"", ""text"": ""Kleinschrotmunition für Kartuschenlager bis 12,5 mm (sog. Grenaille-Patronen)"", ""correct"": true}, {""key"": ""b"", ""text"": ""Patronenmunition mit Vollmantelgeschossen, bei denen die Geschossspitze entfernt wurde, so dass der Bleikern freiliegt"", ""correct"": false}, {""key"": ""c"", ""text"": ""Patronenmunition mit Treibspiegelgeschossen für Waffen mit gezogenen Läufen"", ""correct"": true}]"
1.24;Kapitel I. 5;1. Begriffe des Waffenrechts;10;multiple_choice;Ist eine Patrone mit Wadcutter-Geschoss verbotene Munition?;;"[{""key"": ""a"", ""text"": ""Ja, denn es handelt sich um ein Dum-Dum-Geschoss."", ""correct"": false}, {""key"": ""b"", ""text"": ""Nein, es ist Scheibenmunition."", ""correct"": true}]"
1.25;Kapitel I. 5;1. Begriffe des Waffenrechts;10;multiple_choice;Welche der hier genannten Gegenstände sind keine „wesentlichen Teile“ von Schusswaffen im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Wechseltrommel für Revolver"", ""correct"": false}, {""key"": ""b"", ""text"": ""Klappschaft für Flinten"", ""correct"": true}, {""key"": ""c"", ""text"": ""Ersatzmagazin für Büchsen"", ""correct"": true}]"
1.26;Kapitel I. 6;1. Begriffe des Waffenrechts;11;multiple_choice;Welche der hier genannten Waffen ist ein Einzellader im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""halbautomatische Pistole"", ""correct"": false}, {""key"": ""b"", ""text"": ""Doppelflinte"", ""correct"": true}, {""key"": ""c"", ""text"": ""Schreckschussrevolver"", ""correct"": false}]"
1.27;Kapitel I. 6;1. Begriffe des Waffenrechts;11;multiple_choice;Welche der hier genannten Waffen sind Mehrlader im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Double-Action-Revolver"", ""correct"": true}, {""key"": ""b"", ""text"": ""Repetierbüchse"", ""correct"": true}, {""key"": ""c"", ""text"": ""Doppelflinte"", ""correct"": false}]"
1.28;Kapitel I. 6;1. Begriffe des Waffenrechts;11;multiple_choice;Zu welcher Waffenart im Sinne des Waffengesetzes zählt eine Unterhebel-Repetierbüchse (lever-action)?;;"[{""key"": ""a"", ""text"": ""Einzelladerwaffen"", ""correct"": false}, {""key"": ""b"", ""text"": ""Repetierwaffen"", ""correct"": true}, {""key"": ""c"", ""text"": ""halbautomatische Waffen"", ""correct"": false}]"
1.29;Kapitel I. 6;1. Begriffe des Waffenrechts;11;multiple_choice;Was zählt zu den Geschossen im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Platzpatronen"", ""correct"": false}, {""key"": ""b"", ""text"": ""Bleirundkugeln für Vorderlader"", ""correct"": true}, {""key"": ""c"", ""text"": ""CO2 - Kartuschen für Druckluftwaffen"", ""correct"": false}]"
1.30;Kapitel I. 6;1. Begriffe des Waffenrechts;11;self_assessment;Welche Arten von Munition unterscheidet das Waffengesetz?;- Patronenmunition (Hülsen mit Treibladungen, die ein Geschoss enthalten und Geschosse mit Eigenantrieb) - Kartuschenmunition (Hülsen mit Ladungen, die kein Geschoss enthalten) - Pyrotechnische Munition (Munition, in der explosionsgefährliche Stoffe oder Stoffgemische enthalten sind, die einen Licht-, Schall-, Rauch- oder ähnlichen Effekt erzeugen) - Hülsenlose Munition (Treibladungen mit und ohne Geschosse);[]
1.31;Kapitel I. 6;1. Begriffe des Waffenrechts;11;multiple_choice;Welche Munitionsarten sind vom Waffengesetz erfasst?;;"[{""key"": ""a"", ""text"": ""Patronenmunition"", ""correct"": true}, {""key"": ""b"", ""text"": ""hülsenlose Munition"", ""correct"": true}, {""key"": ""c"", ""text"": ""pyrotechnische Munition"", ""correct"": true}]"
1.32;Kapitel I. 7;1. Begriffe des Waffenrechts;12;multiple_choice;Zur Munition im Sinne des Waffengesetzes zählen:;;"[{""key"": ""a"", ""text"": ""Stahlkugeln für Präzisionsschleudern"", ""correct"": false}, {""key"": ""b"", ""text"": ""Patronenmunition Kaliber .38 Special"", ""correct"": true}, {""key"": ""c"", ""text"": "".177 (4,5 mm) Rundkugeln"", ""correct"": false}]"
1.33;Kapitel I. 7;1. Begriffe des Waffenrechts;12;multiple_choice;Welche der hier genannten Gegenstände sind Munition im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Hohlspitzgeschosse für Kurzwaffen"", ""correct"": false}, {""key"": ""b"", ""text"": ""Armbrustbolzen"", ""correct"": false}, {""key"": ""c"", ""text"": ""Schrotpatronen"", ""correct"": true}]"
1.34;Kapitel I. 7;1. Begriffe des Waffenrechts;12;multiple_choice;Welcher der hier genannten Gegenstände ist keine Munition im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Geschosse für Druckluftgewehre (Diabolos)"", ""correct"": true}, {""key"": ""b"", ""text"": ""Platzpatronen für Schreckschuss-waffen"", ""correct"": false}, {""key"": ""c"", ""text"": ""Zündhütchen für Vorderladerwaffen mit Zündhütchenzündung (Perkussion)"", ""correct"": true}]"
1.35;Kapitel I. 7;1. Begriffe des Waffenrechts;12;multiple_choice;Welche der nachfolgend genannten Beispiele sind Kartuschenmunition im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Platzpatronen"", ""correct"": true}, {""key"": ""b"", ""text"": ""Munition mit Betäubungsmittel für die Distanzinjektion"", ""correct"": false}, {""key"": ""c"", ""text"": ""Zentralfeuerpatronen mit wiederladbaren Hülsen"", ""correct"": false}]"
1.36;Kapitel I. 7;1. Begriffe des Waffenrechts;12;self_assessment;Was bedeutet „erwerben“ im Sinne des Waffengesetzes?;Das Erlangen der tatsächlichen Gewalt über die Schusswaffe.;[]
1.37;Kapitel I. 7;1. Begriffe des Waffenrechts;12;multiple_choice;Was bedeutet „erwerben“ einer Schusswaffe im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Abschluss eines Kaufvertrages"", ""correct"": false}, {""key"": ""b"", ""text"": ""Einsetzen als Erbe im Testament"", ""correct"": false}, {""key"": ""c"", ""text"": ""Erlangen der tatsächlichen Gewalt über die Waffe"", ""correct"": true}]"
1.38;Kapitel I. 7;1. Begriffe des Waffenrechts;12;multiple_choice;Wer ist Erwerber einer Schusswaffe im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Der Dieb, der die Waffe stiehlt."", ""correct"": true}, {""key"": ""b"", ""text"": ""Derjenige, der in einem Waffengeschäft lediglich den Kaufvertrag für eine Waffe unterschreibt."", ""correct"": false}, {""key"": ""c"", ""text"": ""Der Finder, wenn er die Waffen an sich nimmt."", ""correct"": true}]"
1.39;Kapitel I. 8;1. Begriffe des Waffenrechts;13;multiple_choice;Sie wollen ihren Revolver mit dem Ihres Schützenkameraden dauerhaft tauschen, was müssen sie dabei beachten?;;"[{""key"": ""a"", ""text"": ""Beide haben eine Erlaubnis zum Erwerb (Voreintrag) der jeweiligen Waffe zu beantragen."", ""correct"": true}, {""key"": ""b"", ""text"": ""Die Waffen können getauscht werden. Dies ist aber der zuständigen Behörde innerhalb von 14 Tagen anzuzeigen."", ""correct"": false}, {""key"": ""c"", ""text"": ""Es handelt sich um ein gegenseitiges Überlassen und Erwerben."", ""correct"": true}]"
1.40;Kapitel I. 8;1. Begriffe des Waffenrechts;13;multiple_choice;Wann wird eine Schusswaffe im Sinne des Gesetzes erworben?;;"[{""key"": ""a"", ""text"": ""Bei unrechtmäßiger Aneignung."", ""correct"": true}, {""key"": ""b"", ""text"": ""Waffenrechtlicher Erwerb liegt erst bei behördlichem Eintrag der Waffe in die WBK vor."", ""correct"": false}, {""key"": ""c"", ""text"": ""Wenn der Waffenhändler dem Schützen die Waffe im Geschäft übergibt."", ""correct"": true}]"
1.41;Kapitel I. 8;1. Begriffe des Waffenrechts;13;multiple_choice;Wer erwirbt eine Waffe im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Jeder, der die tatsächliche Gewalt über die Waffe erlangt."", ""correct"": true}, {""key"": ""b"", ""text"": ""Jeder, der sich die Waffe für einen Zeitraum von weniger als 4 Wochen ausleiht."", ""correct"": true}, {""key"": ""c"", ""text"": ""Jeder, der die tatsächliche Gewalt über die Waffe ausübt."", ""correct"": false}]"
1.42;Kapitel I. 8;1. Begriffe des Waffenrechts;13;multiple_choice;Wann „erwirbt“ der Käufer eine Waffe im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Bei dem Abschluss eines Kaufvertrages."", ""correct"": false}, {""key"": ""b"", ""text"": ""Bei der Vorlage der Waffenbesitzkarte des Käufers zum Eintrag der Waffe bei seiner zuständigen Behörde."", ""correct"": false}, {""key"": ""c"", ""text"": ""Bei der Aushändigung der Waffe durch den Verkäufer."", ""correct"": true}]"
1.43;Kapitel I. 8;1. Begriffe des Waffenrechts;13;multiple_choice;Was bedeutet „Überlassen“ einer Schusswaffe?;;"[{""key"": ""a"", ""text"": ""Vererben einer Schusswaffe (nach dem Tod)."", ""correct"": false}, {""key"": ""b"", ""text"": ""Wer einem anderen die tatsächliche Gewalt darüber einräumt."", ""correct"": true}, {""key"": ""c"", ""text"": ""Verleihen einer Vereinswaffe (für wenige Tage) an einen anderen Verein."", ""correct"": false}]"
1.44;Kapitel I. 9;1. Begriffe des Waffenrechts;14;multiple_choice;Wer ist sachkundig im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Derjenige, der vor einem Prüfungsausschuss die Sachkundeprüfung erfolgreich abgelegt hat."", ""correct"": true}, {""key"": ""b"", ""text"": ""Soldaten, die mehrere Jahre mit Wartung, Pflege und Lagerung von Handfeuerwaffen betraut waren."", ""correct"": false}, {""key"": ""c"", ""text"": ""Derjenige, der erfolgreich seine Gesellenprüfung im Büchsenmacherhandwerk abgelegt hat."", ""correct"": true}]"
1.45;Kapitel I. 9;1. Begriffe des Waffenrechts;14;self_assessment;Was bedeutet „Führen“ im Sinne des Waffengesetzes?;Das Ausüben der tatsächlichen Gewalt außerhalb der eigenen Wohnung, Geschäftsräume, des eigenen befriedeten Besitztums oder einer Schießstätte.;[]
1.46;Kapitel I. 9;1. Begriffe des Waffenrechts;14;multiple_choice;„Führen“ im Sinne des Waffengesetzes bedeutet Ausübung der tatsächlichen Gewalt...;;"[{""key"": ""a"", ""text"": ""in der eigenen Wohnung."", ""correct"": false}, {""key"": ""b"", ""text"": ""außerhalb des eigenen befriedeten Besitztums."", ""correct"": true}, {""key"": ""c"", ""text"": ""durch den Waffenhändler im Geschäftsraum."", ""correct"": false}]"
1.47;Kapitel I. 9;1. Begriffe des Waffenrechts;14;multiple_choice;„Führen“ im Sinne des Waffengesetzes liegt vor, wenn die Waffe...;;"[{""key"": ""a"", ""text"": ""in der eigenen Wohnung im Holster getragen wird."", ""correct"": false}, {""key"": ""b"", ""text"": ""im Treppenhaus eines fremden Mehrfamilienhauses im Holster getragen wird."", ""correct"": true}, {""key"": ""c"", ""text"": ""im eigenen PKW in der offenen Seitenablage transportiert wird."", ""correct"": true}]"
1.48;Kapitel I. 10;1. Begriffe des Waffenrechts;15;multiple_choice;Durch wen und wie wird die waffenrechtliche Zuverlässigkeit einer Person festgestellt?;;"[{""key"": ""a"", ""text"": ""Die Zuverlässigkeit wird von der zuständigen Behörde geprüft."", ""correct"": true}, {""key"": ""b"", ""text"": ""Es werden Auskünfte aus dem Bundeszentralregister, dem zentralen staatsanwaltschaftlichen Verfahrensregister, Stellungnahmen der örtlichen Polizeidienststelle, der Bundespolizei und des Zollkriminalamtseingeholt. Zudem werden Auskünfte bei den zuständigen Verfassungsschutzämtern eingeholt."", ""correct"": true}, {""key"": ""c"", ""text"": ""Die Zuverlässigkeit wird durch die persönliche Vorstellung bei der örtlichen Behörde festgestellt."", ""correct"": false}]"
1.49;Kapitel I. 10;1. Begriffe des Waffenrechts;15;multiple_choice;Wer ist im Sinne des Waffengesetzes in der Regel nicht mehr zuverlässig?;;"[{""key"": ""a"", ""text"": ""Jeder, der wegen einer vorsätzlich begangenen Straftat zu einer Geldstrafe von mindestens 60 Tagessätzen verurteilt wurde, wenn seit dem Eintritt der Rechtskraft der letzten Verurteilung fünf Jahre noch nicht verstrichen sind."", ""correct"": true}, {""key"": ""b"", ""text"": ""Jeder, der wegen der Begehung von zwei verschiedenen vorsätzlichen Straftaten mindestens zwei Mal zu einer Geldstrafen verurteilt wurde, wenn seit dem Eintritt der Rechtskraft der letzten Verurteilung fünf Jahre noch nicht verstrichen sind."", ""correct"": false}, {""key"": ""c"", ""text"": ""Jeder, der wegen einer vorsätzlichen Geschwindigkeitsüberschreitung seinen Führerschein für mehr als 60 Tage abgeben musste."", ""correct"": false}]"
1.50;Kapitel I. 10;1. Begriffe des Waffenrechts;15;multiple_choice;Wer ist im Sinne des Waffengesetzes nicht geeignet?;;"[{""key"": ""a"", ""text"": ""Jeder, bei dem Tatsachen die Annahme rechtfertigen, dass er abhängig von berauschenden Mitteln ist."", ""correct"": true}, {""key"": ""b"", ""text"": ""Jeder, der aus einem anerkannten Schießsportverband ausgeschlossen wurde."", ""correct"": false}, {""key"": ""c"", ""text"": ""Jeder, bei dem Tatsachen die Annahme rechtfertigen, dass er aufgrund in der Person liegender Umstände mit Waffen oder Munition unsachgemäß umgehen wird."", ""correct"": false}]"
1.51;Kapitel I. 11;1. Begriffe des Waffenrechts;16;self_assessment;Durch wen und wie wird die persönliche Eignung einer Person festgestellt?;"Die persönliche Eignung wird von der zuständigen Behörde geprüft; ggf. ist ein amts- oder fachärztliches oder fachpsychologisches Zeugnis beizubringen.";[]
1.52;Kapitel I. 11;1. Begriffe des Waffenrechts;16;multiple_choice;Wer verfügt im Sinne des Waffengesetzes nicht über die erforderliche persönliche Eignung zum Waffenbesitz.;;"[{""key"": ""a"", ""text"": ""Grundsätzlich alle Personen unter 25 Jahren, wenn sie kein amts- oder fachärztliches oder fachpsychologisches Zeugnis über ihre geistige und körperliche Eignung vorlegen können."", ""correct"": false}, {""key"": ""b"", ""text"": ""Personen, bei denen Tatsachen die Annahme rechtfertigen, dass sie psychisch krank oder debil sind."", ""correct"": true}, {""key"": ""c"", ""text"": ""Personen, bei denen Tatsachen die Annahme rechtfertigen, dass sie alkoholabhängig sind."", ""correct"": true}]"
1.53;Kapitel I. 11;1. Begriffe des Waffenrechts;16;multiple_choice;Was versteht man unter dem „Verbringen“ im Sinne des WaffG?;;"[{""key"": ""a"", ""text"": ""Waffen oder Munition verbringt, wer diese über die Grenze zum dortigen Verbleib oder mit dem Ziel des Besitzwechsels in den, durch den oder aus dem Geltungsbereich des WaffG zu einer anderen Person oder zu sich selbst transportieren lässt oder selbst transportiert."", ""correct"": true}, {""key"": ""b"", ""text"": ""Waffen werden dauerhaft in einen anderen Mitgliedstaat mit einem Europäischen Feuerwaffenpass verbracht."", ""correct"": false}, {""key"": ""c"", ""text"": ""Waffen werden mit einem Europäischen Feuerwaffenpass zu einer Schießsportveranstaltung in einem anderen Mitgliedstaat mitgenommen."", ""correct"": false}]"
1.54;Kapitel I. 12;1. Begriffe des Waffenrechts;17;multiple_choice;Was versteht man unter dem Begriff „Europäischer Feuerwaffenpass“?;;"[{""key"": ""a"", ""text"": ""Einen europaweit gültigen Waffenschein für gefährdete Personen, die gegenüber dem Bundesverwaltungsamt ein besonderes Schutzbedürfnis glaubhaft gemacht haben."", ""correct"": false}, {""key"": ""b"", ""text"": ""Eine europaweit gültige Waffenbesitzkarte, die die Waffenmitnahme auf Reisen in Mitgliedstaaten der EU gestattet."", ""correct"": false}, {""key"": ""c"", ""text"": ""Ein von der EU standardisiertes Waffenbesitzdokument (gegebenenfalls ist vor der Einreise in einen anderen Mitgliedstaat dessen Erlaubnis zur Mitnahme einzuholen)."", ""correct"": true}]"
1.55;Kapitel I. 12;1. Begriffe des Waffenrechts;17;multiple_choice;Eine Schusswaffe ist „zugriffsbereit“ im Sinne des Waffengesetzes, ...;;"[{""key"": ""a"", ""text"": ""wenn sie unmittelbar, also mit wenigen schnellen Handgriffen, in Anschlag gebracht werden kann."", ""correct"": true}, {""key"": ""b"", ""text"": ""wenn sie im abgeschlossenen Koffer im Kfz untergebracht ist."", ""correct"": false}, {""key"": ""c"", ""text"": ""wenn sie ungeladen in der verschlossenen Schublade liegt."", ""correct"": false}]"
1.56;Kapitel I. 12;1. Begriffe des Waffenrechts;17;self_assessment;Wann ist eine Waffe „schussbereit“?;Wenn Sie geladen ist, d. h. dass Munition oder Geschosse in der Trommel, im in die Waffe eingefügten Magazin oder im Patronen- oder Geschosslager sind, auch wenn sie nicht gespannt ist.;[]
